species,fastq,total,superkingdom,kingdom,phylum,class,order,family,genus,tax
Unknown,398431,398431,Unclassified,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unclassified;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown
Macadamia integrifolia,27,27,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Proteales,Proteaceae,Macadamia,Eukaryota;Viridiplantae;Streptophyta;Magnoliopsida;Proteales;Proteaceae;Macadamia;Macadamia integrifolia
Glycine max,26,26,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Fabales,Fabaceae,Glycine,Eukaryota;Viridiplantae;Streptophyta;Magnoliopsida;Fabales;Fabaceae;Glycine;Glycine max
Zea mays,26,26,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Poales,Poaceae,Zea,Eukaryota;Viridiplantae;Streptophyta;Magnoliopsida;Poales;Poaceae;Zea;Zea mays
Benincasa hispida,25,25,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Cucurbitales,Cucurbitaceae,Benincasa,Eukaryota;Viridiplantae;Streptophyta;Magnoliopsida;Cucurbitales;Cucurbitaceae;Benincasa;Benincasa hispida
Gossypium arboreum,25,25,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Malvales,Malvaceae,Gossypium,Eukaryota;Viridiplantae;Streptophyta;Magnoliopsida;Malvales;Malvaceae;Gossypium;Gossypium arboreum
Punica granatum,25,25,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Myrtales,Lythraceae,Punica,Eukaryota;Viridiplantae;Streptophyta;Magnoliopsida;Myrtales;Lythraceae;Punica;Punica granatum
Solanum lycopersicum,25,25,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Solanales,Solanaceae,Solanum,Eukaryota;Viridiplantae;Streptophyta;Magnoliopsida;Solanales;Solanaceae;Solanum;Solanum lycopersicum
Kordiimonas pumila,24,24,Bacteria,Bacteria_none,Pseudomonadota,Alphaproteobacteria,Kordiimonadales,Kordiimonadaceae,Kordiimonas,Bacteria;Bacteria_none;Pseudomonadota;Alphaproteobacteria;Kordiimonadales;Kordiimonadaceae;Kordiimonas;Kordiimonas pumila
Impatiens glandulifera,23,23,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Ericales,Balsaminaceae,Impatiens,Eukaryota;Viridiplantae;Streptophyta;Magnoliopsida;Ericales;Balsaminaceae;Impatiens;Impatiens glandulifera
Erigeron canadensis,22,22,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Asterales,Asteraceae,Erigeron,Eukaryota;Viridiplantae;Streptophyta;Magnoliopsida;Asterales;Asteraceae;Erigeron;Erigeron canadensis
Dioscorea cayenensis,22,22,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Dioscoreales,Dioscoreaceae,Dioscorea,Eukaryota;Viridiplantae;Streptophyta;Magnoliopsida;Dioscoreales;Dioscoreaceae;Dioscorea;Dioscorea cayenensis
Medicago truncatula,22,22,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Fabales,Fabaceae,Medicago,Eukaryota;Viridiplantae;Streptophyta;Magnoliopsida;Fabales;Fabaceae;Medicago;Medicago truncatula
Olea europaea,22,22,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Lamiales,Oleaceae,Olea,Eukaryota;Viridiplantae;Streptophyta;Magnoliopsida;Lamiales;Oleaceae;Olea;Olea europaea
Solanum stenotomum,22,22,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Solanales,Solanaceae,Solanum,Eukaryota;Viridiplantae;Streptophyta;Magnoliopsida;Solanales;Solanaceae;Solanum;Solanum stenotomum
Sandaracinus amylolyticus,21,21,Bacteria,Bacteria_none,Pseudomonadota,Deltaproteobacteria,Myxococcales,Sandaracinaceae,Sandaracinus,Bacteria;Bacteria_none;Pseudomonadota;Deltaproteobacteria;Myxococcales;Sandaracinaceae;Sandaracinus;Sandaracinus amylolyticus
Brassica napus,21,21,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Brassicales,Brassicaceae,Brassica,Eukaryota;Viridiplantae;Streptophyta;Magnoliopsida;Brassicales;Brassicaceae;Brassica;Brassica napus
Diospyros lotus,21,21,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Ericales,Ebenaceae,Diospyros,Eukaryota;Viridiplantae;Streptophyta;Magnoliopsida;Ericales;Ebenaceae;Diospyros;Diospyros lotus
Phaseolus vulgaris,21,21,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Fabales,Fabaceae,Phaseolus,Eukaryota;Viridiplantae;Streptophyta;Magnoliopsida;Fabales;Fabaceae;Phaseolus;Phaseolus vulgaris
Manihot esculenta,19,19,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Malpighiales,Euphorbiaceae,Manihot,Eukaryota;Viridiplantae;Streptophyta;Magnoliopsida;Malpighiales;Euphorbiaceae;Manihot;Manihot esculenta
Cannabis sativa,19,19,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Rosales,Cannabaceae,Cannabis,Eukaryota;Viridiplantae;Streptophyta;Magnoliopsida;Rosales;Cannabaceae;Cannabis;Cannabis sativa
Quercus lobata,18,18,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Fagales,Fagaceae,Quercus,Eukaryota;Viridiplantae;Streptophyta;Magnoliopsida;Fagales;Fagaceae;Quercus;Quercus lobata
Quercus robur,18,18,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Fagales,Fagaceae,Quercus,Eukaryota;Viridiplantae;Streptophyta;Magnoliopsida;Fagales;Fagaceae;Quercus;Quercus robur
Aegilops tauschii,18,18,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Poales,Poaceae,Aegilops,Eukaryota;Viridiplantae;Streptophyta;Magnoliopsida;Poales;Poaceae;Aegilops;Aegilops tauschii
Panicum virgatum,18,18,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Poales,Poaceae,Panicum,Eukaryota;Viridiplantae;Streptophyta;Magnoliopsida;Poales;Poaceae;Panicum;Panicum virgatum
Ricinus communis,17,17,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Malpighiales,Euphorbiaceae,Ricinus,Eukaryota;Viridiplantae;Streptophyta;Magnoliopsida;Malpighiales;Euphorbiaceae;Ricinus;Ricinus communis
Lolium rigidum,17,17,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Poales,Poaceae,Lolium,Eukaryota;Viridiplantae;Streptophyta;Magnoliopsida;Poales;Poaceae;Lolium;Lolium rigidum
Cynara cardunculus,16,16,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Asterales,Asteraceae,Cynara,Eukaryota;Viridiplantae;Streptophyta;Magnoliopsida;Asterales;Asteraceae;Cynara;Cynara cardunculus
Trifolium pratense,16,16,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Fabales,Fabaceae,Trifolium,Eukaryota;Viridiplantae;Streptophyta;Magnoliopsida;Fabales;Fabaceae;Trifolium;Trifolium pratense
Vigna radiata,16,16,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Fabales,Fabaceae,Vigna,Eukaryota;Viridiplantae;Streptophyta;Magnoliopsida;Fabales;Fabaceae;Vigna;Vigna radiata
Vigna unguiculata,16,16,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Fabales,Fabaceae,Vigna,Eukaryota;Viridiplantae;Streptophyta;Magnoliopsida;Fabales;Fabaceae;Vigna;Vigna unguiculata
Salvia splendens,16,16,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Lamiales,Lamiaceae,Salvia,Eukaryota;Viridiplantae;Streptophyta;Magnoliopsida;Lamiales;Lamiaceae;Salvia;Salvia splendens
Halomonas sp. N3-2A,15,15,Bacteria,Bacteria_none,Pseudomonadota,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Halomonas,Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Oceanospirillales;Halomonadaceae;Halomonas;Halomonas sp. N3-2A
Camelina sativa,15,15,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Brassicales,Brassicaceae,Camelina,Eukaryota;Viridiplantae;Streptophyta;Magnoliopsida;Brassicales;Brassicaceae;Camelina;Camelina sativa
Arachis duranensis,15,15,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Fabales,Fabaceae,Arachis,Eukaryota;Viridiplantae;Streptophyta;Magnoliopsida;Fabales;Fabaceae;Arachis;Arachis duranensis
Carya illinoinensis,15,15,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Fagales,Juglandaceae,Carya,Eukaryota;Viridiplantae;Streptophyta;Magnoliopsida;Fagales;Juglandaceae;Carya;Carya illinoinensis
