species,TempClass
Nocardioides sp. zg-579,
Jiangella sp. DSM 45060,
Burkholderia cenocepacia,
Brachybacterium faecium,
Triticum urartu,
Micromonospora tulbaghiae,
Nocardioides yefusunii,
Amycolatopsis mediterranei,
Agromyces flavus,
Mesorhizobium sp. M1D.F.Ca.ET.043.01.1.1,
Nocardioides sp. S-1144,
Achromobacter denitrificans,
Agromyces marinus,
Streptomyces niveus,Mesophilic
Pseudomonas knackmussii,Mesophilic
Mesorhizobium sp. L-8-3,
Variovorax sp. PBL-E5,
Jiangella alkaliphila,
Mesorhizobium sp. M3A.F.Ca.ET.080.04.2.1,
Cupriavidus oxalaticus,
Microbacterium oxydans,
Sinorhizobium fredii,
Agromyces archimandritae,
Pseudomonas oryzae,Mesophilic
Achromobacter sp. AONIH1,
Bradyrhizobium sp. 155,
Agromyces soli,
Micromonospora narathiwatensis,
Streptomyces lusitanus,Mesophilic
Microbacterium sediminis,
Micromonospora rifamycinica,
Blastococcus saxobsidens,
Janibacter melonis,
Nocardioides aromaticivorans,
Cellulosimicrobium sp. 72-3,
Agrococcus carbonis,
Nocardioides panacis,
Acuticoccus sp. I52.16.1,
Microbacterium sp. JZ31,
Pseudonocardia petroleophila,
Brevundimonas albigilva,
Stenotrophomonas sp. Pemsol,
Kutzneria albida,
Stenotrophomonas sp. NA06056,
Sulfurivermis fontis,
Lactuca sativa,
Saccharothrix espanaensis,
Miltoncostaea marina,
Methylorubrum populi,
Shinella sp. XGS7,
Actinoplanes friuliensis,
Microterricola viridarii,
Mesorhizobium sp. 131-2-1,
Plantactinospora sp. BC1,
Streptomyces calvus,Mesophilic
Nocardioides sp. S5,
Panicum virgatum,
Nocardia brasiliensis,
Thermaerobacter sp. FW80,
Nocardioides sp. zg-536,
Ornithinimicrobium avium,
Nocardioides dongkuii,
Streptomyces sp. S1A1-7,Mesophilic
Frankia inefficax,
Aerosticca soli,
Mesorhizobium sp. B1-1-8,
Microbacterium sp. str. 'China',
Mesorhizobium sp. M1B.F.Ca.ET.045.04.1.1,
Dactylosporangium roseum,
Ornithinimicrobium sp. HY006,
Pseudonocardia abyssalis,
Mesorhizobium sp. B2-8-5,
Bacillus velezensis,
Streptomyces griseus,Mesophilic
Cupriavidus basilensis,
Pseudonocardia sp. DSM 110487,
Mesorhizobium sp. M1E.F.Ca.ET.045.02.1.1,
Tistrella mobilis,
Kosakonia oryzae,Mesophilic
Brachybacterium huguangmaarense,
Dactylosporangium matsuzakiense,
Nocardioides pantholopis,
Agrococcus sp. SL85,
Pseudomonas furukawaii,Mesophilic
Homoserinibacter sp. YIM 151385,
Gossypium hirsutum,
Bacillus safensis,
Frankia alni,
Agromyces sp. CFWR-12,
Cupriavidus pauculus,
Cellulomonas taurus,
Nocardioides sp. W7,
Alkaliflexus sp. Ai-910,
Marinicauda algicola,
Aegilops tauschii,
Methylorubrum extorquens,
Pseudomonas psychrotolerans,Mesophilic
Streptomyces noursei,Mesophilic
Actinocatenispora thailandica,
Nocardioides sambongensis,
Rathayibacter sp. VKM Ac-2804,
Nocardioides ungokensis,
Amycolatopsis keratiniphila,
Rhodothermus marinus,Thermophilic
Serinicoccus marinus,
Micromonospora craniellae,
Nocardioides okcheonensis,
Ferrovibrio terrae,
Acidovorax avenae,
Actinoplanes derwentensis,
Nocardioides mesophilus,
Miltoncostaea oceani,
Rathayibacter festucae,
Euzebya pacifica,
Kocuria turfanensis,
