species,TempClass
Vibrio furnissii,
Rhizoctonia solani,
Streptomyces sp. 604F,Mesophilic
Brevibacterium siliguriense,
Corynebacterium glaucum,
Corynebacterium terpenotabidum,
Gordonia sp. JH63,
Adlercreutzia hattorii,
Bacillus sp. THAF10,
Paenalkalicoccus suaedae,
Solibaculum mannosilyticum,
Thermoanaerobacterium thermosaccharolyticum,
Megasphaera elsdenii,
Prevotella intermedia,
Tenuifilum thalassicum,
Spirosoma rhododendri,
Capnocytophaga sputigena,
Flavobacterium bizetiae,
Leeuwenhoekiella palythoae,
Owenweeksia hongkongensis,
Synechococcus sp. CBW1107,
Geovibrio thiophilus,
Bradyrhizobium sp. CCBAU 53338,
Ruegeria sp. SCSIO 43209,
Sulfitobacter indolifex,
Croceicoccus sp. Ery5,
Sphingomonas sediminicola,
Desulfobulbus oligotrophicus,
Paraneptunicella aestuarii,
Pantoea sp. At-9b,Mesophilic
Serratia proteamaculans,Mesophilic
Aquicella lusitana,
Acinetobacter sp. TTH0-4,
Endozoicomonas sp. SCSIO W0465,
Pseudomonas brenneri,Mesophilic
Pseudomonas mandelii,Mesophilic
Photobacterium atrarenae,
Mariprofundus aestuarium,
Pyricularia grisea,
Halosimplex sp. XZYJT29,
Haloterrigena turkmenica,
Actinomyces sp. oral taxon 897,
Mycobacterium leprae,
Rhodococcus sp. WAY2,
Bacillus toyonensis,
Salicibibacter kimchii,
Exiguobacterium mexicanum,
Aneurinibacillus sp. Ricciae_BoGa-3,
Paenibacillus crassostreae,
Antarcticibacterium sp. 1MA-6-2,
Maribacter hydrothermalis,
Maribacter sp. MJ134,
Tenacibaculum todarodis,
Deinococcus deserti,
Methylobacterium sp. SyP6R,
Sulfitobacter sp. BSw21498,
Thalassospira sp. GO-4,
Undibacterium parvum,
Neisseria chenwenguii,
Methylophilus sp. TWE2,
Moritella yayanosii,
Shewanella sp. W3-18-1,
Pantoea sp. SOD02,Mesophilic
Hafnia alvei,Mesophilic
Musicola paradisiaca,Mesophilic
Pectobacterium brasiliense,Mesophilic
Marinobacter psychrophilus,
Pseudomonas antarctica,Mesophilic
Pseudomonas sp. R2-7-07,Mesophilic
Salinivibrio kushneri,
Toxoplasma gondii,
Haladaptatus salinisoli,
Salinarchaeum sp. Harcht-Bsk1,
Arthrobacter polaris,
Corynebacterium coyleae,
Cutibacterium modestum,
Fictibacillus arsenicus,
Salicibibacter halophilus,
Clostridium pasteurianum,Mesophilic
Lacibacter sp. S13-6-22,
Hymenobacter qilianensis,
Hymenobacter sp. 5516S-25,
Candidatus Arcticimaribacter forsetii,
Flavobacterium sp. M31R6,
Nonlabens sp. Hel1_33_55,
Polaribacter dokdonensis,
Mucilaginibacter ginsenosidivorax,
Moorena producens,
Leptolyngbya sp. BL0902,
Mycoplasmopsis anatis,
Fuerstiella marisgermanici,
Agrobacterium sp. 13-2099-1-2,
Rhizobium sp. 007,
Sphingopyxis terrae,
Nitrosospira sp. NRS527,
Desulfovibrio ferrophilus,
Campylobacter fetus,
Serratia rhizosphaerae,Mesophilic
Serratia ureilytica,Mesophilic
Cobetia sp. 4B,
Halomonas sp. 7T,
Pseudomonas sp. BC42,Mesophilic
Vibrio diabolicus,
Fusarium poae,Mesophilic
Halobacterium litoreum,
Halobacterium noricense,
Haloplanus sp. GDY1,
Corynebacterium flavescens,
Corynebacterium sp. CNCTC7651,
Olsenella sp. oral taxon 807,
Alkalihalophilus pseudofirmus,
Bacillus sp. JY-23,
Clostridium manihotivorum,Mesophilic
Dysosmobacter sp. Marseille-Q4140,
Seonamhaeicola sp. ML3,
Rhizobium sp. BT-175,
Hyphobacterium sp. CCMP332,
Ruegeria sp. YS9,
Ehrlichia canis,
Sphingorhabdus sp. M41,
Alcaligenes sp. DN25,
Oligella ureolytica,
Solidesulfovibrio magneticus,
Rahnella inusitata,Mesophilic
Serratia ficaria,Mesophilic
Acinetobacter sp. WCHAc010034,
Moraxella sp. FZFQ2102,
Pseudomonas sp. NIBR-H-19,Mesophilic
Pseudomonas sp. OE 28.3,Mesophilic
Vibrio harveyi,
Turneriella parva,
Plasmodium malariae,
Fusarium venenatum,Mesophilic
Haloglomus sp. ZY41,
Natronomonas halophila,
Methanocella arvoryzae,
Corynebacterium simulans,
Corynebacterium striatum,
[Bacillus] caldolyticus,
Paenibacillus odorifer,
Streptococcus suis,
Enterocloster clostridioformis,
Moorella glycerini,
Selenomonas sp. oral taxon 478,
Candidatus Sulfidibacterium hydrothermale,
Aggregatimonas sangjinii,
Tenacibaculum pacificus,
Synechococcus sp. WH 8101,
[Ochrobactrum] quorumnocens,
Leisingera sp. NJS204,
Sulfitobacter dubius,
Gluconobacter albidus,
Orrella sp. f23,
Burkholderia latens,
Limnobacter sp. SAORIC-580,
Aeromonas sp. ASNIH4,
Nitrosococcus watsonii,
Sodalis praecaptivus,Mesophilic
Salmonella bongori,Mesophilic
Pantoea sp. Z09,Mesophilic
Pseudomonas sp. LTJR-52,Mesophilic
Fromanvirus trixie,
Halobaculum magnesiiphilum,
Halostagnicola larsenii,
Candidatus Nitrosocosmicus franklandus,
Streptomyces sp. ICC4,Mesophilic
Salinibacterium sp. M195,
Paenarthrobacter aurescens,
Rhodococcus sp. USK13,
Cutibacterium granulosum,
Sporosarcina ureilytica,
Staphylococcus epidermidis,
Jeotgalibaca arthritidis,
Caproiciproducens sp. NJN-50,
Hymenobacter sp. PAMC 29467,
Lacinutrix sp. Bg11-31,
Chryseobacterium sp. Y16C,
Pedobacter sp. PACM 27299,
Prosthecochloris sp. GSB1,
Metamycoplasma orale,
Bradyrhizobium sp. SEMIA,
Sinorhizobium sp. CCBAU 05631,
Cognatishimia activa,
Acetobacter pasteurianus,
Alcaligenes sp. SMD-FA,
Burkholderia sp. PAMC 26561,
Mycoavidus sp. B2-EB,
Polynucleobacter sp. VK25,
Desulfomicrobium baculatum,
Colwellia sp. Arc7-D,
Dichelobacter nodosus,
Marinagarivorans sp. GE09,
Alcanivorax sp. NBRC 101098,
Pseudomonas sp. B21-059,Mesophilic
Pseudomonas sp. Cab53,Mesophilic
Photobacterium sp. TLY01,
Botrytis cinerea,
Halorubrum sp. 2020YC2,
Natrarchaeobaculum sulfurireducens,
Edaphobacter sp. 4G125,
Streptomyces sp. S1D4-23,Mesophilic
Corynebacterium zhongnanshanii,
Mycobacterium sp. PYR15,
Bacillus vallismortis,
Pontibacillus sp. ALD_SL1,
Streptococcus pyogenes,
Larkinella sp. IE-0392,
Dokdonia sp. MED134,
Flavobacterium sp. 140616W15,
Tenacibaculum dicentrarchi,
Chlorobium phaeobacteroides,
Thermobaculum terrenum,
Dehalogenimonas formicexedens,
Geitlerinema sp. PCC 7407,
Mycoplasma mycoides,
Thermogutta terrifontis,
Brucella pituitosa,
Maritalea myrionectae,
Paracoccus marcusii,
Sphingobium sp. CFD-1,
Oxalobacter vibrioformis,
Pseudodesulfovibrio portus,
Pseudodesulfovibrio sediminis,
Alteromonas naphthalenivorans,
Atlantibacter hermannii,Mesophilic
Raoultella sp. XY-1,Mesophilic
Pseudomonas juntendi,Mesophilic
Pseudomonas sp. BIOMIG1BAC,Mesophilic
Pseudomonas sp. SK2,Mesophilic
Pseudomonas tritici,Mesophilic
Vibrio metoecus,
Saccharomyces cerevisiae,
Halovivax sp. KZCA124,
Saliphagus sp. WLHS1,
Chloracidobacterium validum,
Rathayibacter toxicus,
Geobacillus sp. 46C-IIa,Thermophilic
Paenibacillus marchantiae,
Paenibacillus sp. Cedars,
Paenibacillus sp. DCT19,
Phnomibacter ginsenosidimutans,
Seonamhaeicola sp. S2-3,
Tenacibaculum ovolyticum,
Kovacikia minuta,
Pseudochrobactrum sp. XF203,
Rhizobium indicum,
Aliiroseovarius sp. M344,
Sphingorhabdus lacus,
Burkholderia sp. MSMB0856,
Burkholderia sp. S-53,
Polynucleobacter antarcticus,
blood disease bacterium A2-HR MARDI,
Polaromonas vacuolata,
Rhodoferax saidenbachensis,
Variovorax sp. WS11,
Chitinibacter bivalviorum,
Desulfosarcina sp. BuS5,
Geobacter benzoatilyticus,
Yersinia ruckeri,Mesophilic
Pseudomonas kribbensis,Mesophilic
Pseudomonas sp. ADAK13,Mesophilic
Pseudomonas sp. MM213,Mesophilic
Pseudomonas sp. SCA2728.1_7,Mesophilic
Xylella fastidiosa,
Malassezia restricta,
Rothia aeria,
Corynebacterium deserti,
Corynebacterium riegelii,
Rhodococcus sp. WB1,
Parolsenella massiliensis,
Psychrobacillus glaciei,
Kurthia sp. 11kri321,
Limosilactobacillus fermentum,
Desulfotomaculum nigrificans,
Roseburia hominis,
Desulforamulus reducens,
unidentified bacterial endosymbiont,
Prevotella ruminicola,
Cardinium endosymbiont of Sogatella furcifera,
Hymenobacter tibetensis,
Antarcticibacterium arcticum,
Tamlana sp. s12,
Parvicella tangerina,
Mucilaginibacter sp. KACC 22063,
Brucella sp. 458,
Roseobacter litoralis,
Oecophyllibacter saccharovorans,
Qipengyuania aurantiaca,
Massilia sp. Se16.2.3,
Nitrosospira briensis,
Geotalea daltonii,
Agarilytica rhodophyticola,
Erwinia persicina,Mesophilic
Pantoea stewartii,Mesophilic
Acinetobacter sp. NyZ410,
Halomonas alkaliphila,
Aliamphritea ceti,
Pseudomonas sp. S34,Mesophilic
Pseudomonas sp. WJP1,Mesophilic
Vibrio palustris,
Pochonia chlamydosporia,
Haloferax alexandrinus,
Halorubrum lacusprofundi,
Arthrobacter sp. StoSoilB19,
Halobacillus litoralis,
Paenibacillus sp. FSL R7-0331,
Anaeromicropila herbilytica,
Candidatus Amoebophilus asiaticus,
Flavobacterium pallidum,
Polaribacter sp. SA4-12,
Mucilaginibacter ginsenosidivorans,
Chloroherpeton thalassium,
Phototrophicus methaneseepsis,
Nitrospira sp. KM1,
Brucella sp. JSBI001,
Roseovarius mucosus,
Gluconobacter frateurii,
Candidatus Sneabacter namystus,
Alcaligenes ammonioxydans,
Gallionella capsiferriformans,
Campylobacter showae,
Pseudoalteromonas spongiae,
Xenorhabdus budapestensis,Mesophilic
Pseudomonas sp. BIGb0427,Mesophilic
Pseudomonas sp. PP3,Mesophilic
Vibrio ostreae,
Halovenus salina,
Halobaculum roseum,
Haloterrigena sp. DT87,
Halovivax ruber,
Candidatus Aquiluna sp. UB-MaderosW2red,
Glutamicibacter mysorens,
Micrococcus sp. SL257,
Bacillus gobiensis,
Brevibacillus sp. HD3.3A,
Liquorilactobacillus nagelii,
Clostridium tagluense,Mesophilic
Sarcina sp. JB2,
Peptoniphilus sp. SAHP1,
Spirosoma montaniterrae,
Hymenobacter sp. 5516J-16,
Hymenobacter sp. BT18,
Flavivirga eckloniae,
Myroides profundi,
Mucilaginibacter gotjawali,
Synechococcus sp. KORDI-52,
Paremcibacter congregatus,
Brucella sp. 6810,
Microvirga roseola,
Bradyrhizobium sp. 172,
Komagataeibacter oboediens,
Novosphingobium terrae,
Sphingomonas paeninsulae,
Janthinobacterium sp. B9-8,
Sulfurovum sp. XGS-02,
Sulfurimonas sp. HSL-3221,
Nitrosophilus labii,
Thalassomonas viridans,
Escherichia sp. E4742,Mesophilic
Klebsiella huaxiensis,Mesophilic
Pantoea alhagi,Mesophilic
Providencia sp. 21OH12SH02B-Prov,Mesophilic
Candidatus Ruthia magnifica,
Halomonas sp. KO116,
Pseudomonas arsenicoxydans,Mesophilic
Pseudomonas qingdaonensis,Mesophilic
Pseudomonas sichuanensis,Mesophilic
Pseudomonas sp. B21-051,Mesophilic
Pseudomonas sp. SK3(2021),Mesophilic
Pseudomonas sp. SW-3,Mesophilic
Francisella philomiragia,
Vibrio mangrovi,
Actinotignum schaalii,
Pseudoclavibacter sp. Marseille-Q3772,
Arthrobacter sp. J3.49,
Corynebacterium epidermidicanis,
Anoxybacillus kamchatkensis,
Sporosarcina sp. Marseille-Q4943,
Sporolactobacillus terrae,
Lactobacillus gasseri,
Clostridium novyi,Mesophilic
Clostridium tetani,Mesophilic
Alistipes megaguti,
Maribellus comscasis,
Arcticibacterium luteifluviistationis,
Pukyongia salina,
Chryseobacterium oryzae,
Dehalococcoides mccartyi,
Gimesia fumaroli,
Brucella sp. 09RB8910,
Bradyrhizobium sp. LCT2,
Ruegeria sp. TM1040,
Sulfitobacter sp. W027,
Burkholderia sp. NRF60-BP8,
Pandoraea sp. XJJ-1,
Candidatus Nitrotoga sp. AM1P,
Psychrodesulfovibrio sp. FT415,
Alkalimarinus sp. A2M4,
Oceanicoccus sagamiensis,
Yersinia kristensenii,Mesophilic
Pseudomonas sp. FGI182,Mesophilic
Pseudomonas sp. R3-18-08,Mesophilic
Leishmania braziliensis,
Dictyostelium discoideum,
Sugiyamaella lignohabitans,
Haloprofundus salilacus,
Halobaculum rubrum,
Natrinema sp. DC36,
Flaviflexus equikiangi,
Parascardovia denticolens,
Corynebacterium aurimucosum,
Corynebacterium cystitidis,
Tumebacillus algifaecis,
Halobacillus halophilus,
Mesobacillus sp. S13,
Peribacillus muralis,
Peribacillus psychrosaccharolyticus,
Aneurinibacillus sp. XH2,
Granulicatella elegans,
Coprococcus catus,
Faecalibacterium sp. I3-3-33,
Ruminococcus albus,
Turicibacter bilis,
Aquimarina sp. ERC-38,
Formosa agariphila,
Gramella flava,
Chryseobacterium paludis,
Kaistella flava (ex Peng et al. 2021),
Brevundimonas sp. 'scallop',
Acetobacter vaccinii,
Aquisediminimonas profunda,
Polynucleobacter sp. MWH-UH25E,
Massilia sp. MB5,
Geotalea uraniireducens,
Pseudoalteromonas piscicida,
Shewanella livingstonensis,
Klebsiella michiganensis,Mesophilic
Tatumella citrea,Mesophilic
Haemophilus parahaemolyticus,
Pseudomonas sp. LG1E9,Mesophilic
Pseudomonas sp. Seg1,Mesophilic
Pseudomonas sp. bs2935,Mesophilic
Stutzerimonas chloritidismutans,
Vibrio taketomensis,
Plasmodium vivax,
Leishmania panamensis,
Lachancea thermotolerans,
Halorubrum sp. PV6,
Methanoculleus bourgensis,
Methanosarcina barkeri,
Glutamicibacter sp. ZJUTW,
Mycobacteroides salmoniphilum,Mesophilic
Macrococcus canis,
Streptococcus lutetiensis,
Clostridium argentinense,Mesophilic
Paeniclostridium sordellii,
Thermosediminibacter oceani,
Alistipes ihumii,
Fulvivirga sp. W9P-11,
Lutibacter sp. A80,
Maribacter sp. HL-LV01,
Psychroflexus torquis,
Tenacibaculum mesophilum,
Kaistella daneshvariae,
Saprospira sp. CCB-QB6,
Pedobacter sp. HDW13,
Pelolinea submarina,
Fusobacterium gastrosuis,
Bythopirellula goksoeyrii,
Rhizobium sp. NIBRBAC000502774,
Pseudovibrio brasiliensis,
Kordiimonas sp. SCSIO 12603,
Erythrobacter aureus,
Qipengyuania xiapuensis,
Limnohabitans sp. 63ED37-2,
Aeromonas sp. FDAARGOS 1415,
Colwellia psychrerythraea,
Rheinheimera mangrovi,
Raoultella planticola,Mesophilic
Edwardsiella sp. LADL05-105,Mesophilic
Pectobacterium punjabense,Mesophilic
Acinetobacter schindleri,
Spartinivicinus ruber,
Pseudomonas sp. 02C 26,Mesophilic
Pseudomonas sp. MYb193,Mesophilic
Photobacterium damselae,
Vibrio casei,
Penicillium oxalicum,Mesophilic
Mycobacterium phage Enkosi,
Halapricum salinum,
Salinarchaeum laminariae,
Actinomyces sp. HMT 175,
Streptomyces sp. CA-256286,Mesophilic
Brevibacterium sp. JSBI002,
Corynebacterium crudilactis,
Mycobacterium lepromatosis,
Mycobacterium shottsii,
Rhodococcus sp. WB9,
Halobacillus sp. SSBR10-3,
Lysinibacillus sp. ACHW1.5,
Virgibacillus sp. Bac330,
Staphylococcus xylosus,
Paraflavitalea soli,
Cellulophaga sp. HaHaR_3_176,
Formosa sediminum,
Calothrix sp. PCC 7716,
Sneathiella marina,
Ralstonia syzygii,
Desulfosudis oleivorans,
Poseidonibacter lekithochrous,
Aeromonas bestiarum,
Paraglaciecola mesophila,
Pragia fontium,Mesophilic
Cronobacter universalis,Mesophilic
Acinetobacter sp. ASP199,
Acinetobacter variabilis,
Pseudomonas prosekii,Mesophilic
Pseudomonas sp. HD6515,Mesophilic
Vibrio azureus,
Vibrio penaeicida,
Methylacidiphilum infernorum,
Plasmodium relictum,
Fusarium verticillioides,Mesophilic
Halorhabdus utahensis,
Halobacterium sp. XZYJT26,
Natronorubrum aibiense,
Alloacidobacterium dinghuense,
Bifidobacterium lemurum,
Paeniglutamicibacter sp. Y32M11,
Corynebacterium endometrii,
Mycolicibacterium nivoides,
Bacillus tequilensis,
Mangrovibacillus cuniculi,
Staphylococcus pseudintermedius,
Lacticaseibacillus paracasei,
Clostridium cellulovorans,Mesophilic
Clostridium thermarum,Mesophilic
Desulfitobacterium dichloroeliminans,
Roseburia intestinalis,
Moorella sp. Hama-1,
Mahella australiensis,
Zhaonella formicivorans,
Bacteroides faecis,Mesophilic
Bacteroides sp. HF-162,Mesophilic
Hymenobacter sp. 5413J-13,
Chlorobaculum sp. MV4-Y,
Ktedonosporobacter rubrisoli,
Synechococcus sp. BMK-MC-1,
Tuwongella immobilis,
Gimesia benthica,
Brevundimonas sp. BT-123,
Brucella inopinata,
Hyphomonas sp. Mor2,
Burkholderia sp. MS389,
Aeromonas sanarellii,
Catenovulum sediminis,
Halothiobacillus neapolitanus,
Halomonas sp. R57-5,
Litorivicinus lipolyticus,
Pseudomonas luteola,Mesophilic
Pseudomonas sp. 3-2,Mesophilic
Pseudomonas sp. B21-028,Mesophilic
Pseudomonas sp. R11-23-07,Mesophilic
Pseudomonas sp. RC3H12,Mesophilic
Vibrio sp. B1FLJ16,
Leptospira mayottensis,
Haloarcula sp. JP-L23,
Halococcus dombrowskii,
Halovivax sp. CGA30,
Schaalia turicensis,
Pseudarthrobacter sp. NIBRBAC000502771,
[Mycobacterium] stephanolepidis,Mesophilic
Paenibacillus brasilensis,
Clostridium cadaveris,Mesophilic
Desulfosporosinus meridiei,
Miniphocaeibacter halophilus,
Bacteroides helcogenes,Mesophilic
Cellulophaga lytica,
Mucilaginibacter daejeonensis,
Anaerolinea thermophila,
Anthocerotibacter panamensis,
Synechococcus sp. CB0101,
Synechococcus sp. JA-3-3Ab,
Mariniblastus fucicola,
Aminobacter niigataensis,
Sulfitobacter sp. W074,
Parasphingorhabdus cellanae,
Caballeronia sp. SBC2,
Vitreoscilla stercoraria,
Desulforapulum autotrophicum,
Oceanisphaera avium,
Agarivorans sp. TSD2052,
Leclercia sp. J807,Mesophilic
Mixta intestinalis,Mesophilic
Methylovulum psychrotolerans,
Acinetobacter vivianii,
Psychrobacter sp. KH172YL61,
Halomonas venusta,
Bermanella marisrubri,
Haemophilus pittmaniae,
Pseudomonas sp. SC3(2021),Mesophilic
Thiothrix winogradskyi,
Vibrio echinoideorum,
Vibrio navarrensis,
Saliphagus sp. WLHSJ1,
Methanocella paludicola,
Pontimonas salivibrio,
Corynebacterium gerontici,
Nakamurella antarctica,
Berryella wangjianweii,
Sporosarcina sp. PTS2304,
Enterococcus casseliflavus,
Lactobacillus helveticus,
Acidaminococcus fermentans,
Ezakiella coagulans,
Muribaculum intestinale,
Alistipes finegoldii,
Alkalitalea saponilacus,
Algoriphagus machipongonensis,
Olleya aquimaris,
Salegentibacter mishustinae,
Mucilaginibacter xinganensis,
Pedobacter ginsengisoli,
Microcystis aeruginosa,
Leptothermofonsia sichuanensis,
Synechococcus sp. CC9902,
Celeribacter marinus,
Qipengyuania psychrotolerans,
Pseudodesulfovibrio tunisiensis,
Aeromonas sp. ASNIH1,
Alteromonas sp. 009811495,
Parashewanella tropica,
Rahnella sp. ERMR1:05,Mesophilic
Serratia fonticola,Mesophilic
Serratia nematodiphila,Mesophilic
Kangiella geojedonensis,
Pseudomonas bijieensis,Mesophilic
Vibrio sp. SCSIO 43137,
Micavibrio aeruginosavorus,
Cyanidioschyzon merolae,
Aspergillus flavus,
Puccinia striiformis,
Ostreococcus sp. 'lucimarinus',
Metallosphaera hakonensis,
Natranaeroarchaeum sulfidigenes,
Streptomyces sp. PLM4,Mesophilic
Arthrobacter sp. StoSoilB13,
Corynebacterium ihumii,
Corynebacterium lujinxingii,
Rhodococcus sp. YL-1,
Denitrobacterium detoxificans,
Alicyclobacillus acidoterrestris,
Halobacillus sp. SSTM10-2,
Lysinibacillus sp. GJ-1,
Metabacillus endolithicus,
Rummeliibacillus stabekisii,
Macrococcus caseolyticus,
Aerococcus viridans,
Streptococcus thermophilus,
Christensenella minuta,
Desulfoscipio gibsoniae,
Paraprevotella xylaniphila,
Salinivirga cyanobacteriivorans,
Echinicola sp. 20G,
Hymenobacter sp. S2-20-2,
Antarcticibacterium flavum,
Lacinutrix sp. HL-RS19,
Winogradskyella sp. J14-2,
Chryseobacterium salivictor,
Chryseobacterium sp. G0162,
Synechococcus sp. RS9909,
Synechococcus sp. WH 8020,
Thermus scotoductus,Thermophilic
Limihaloglobus sulfuriphilus,
Bradyrhizobium sp. TM102,
Burkholderia diffusa,
Burkholderia mallei,
Curvibacter sp. AEP1-3,
Ferrovum myxofaciens,
Paralysiella testudinis,
Desulfococcus multivorans,
Desulfovibrio sp. 86,
Salidesulfovibrio onnuriiensis,
Pseudoalteromonas luteoviolacea,
Pseudoalteromonas sp. A25,
Aequoribacter fuscus,
Nitrosococcus oceani,
Leminorella richardii,Mesophilic
Citrobacter braakii,Mesophilic
Kosakonia pseudosacchari,Mesophilic
Leclercia sp. Colony189,Mesophilic
Edwardsiella ictaluri,Mesophilic
Providencia heimbachae,Mesophilic
Pseudomonas congelans,Mesophilic
Pseudomonas rhizophila,Mesophilic
Pseudomonas sp. HS-18,Mesophilic
Pseudomonas sp. R2-37-08W,Mesophilic
Pseudomonas sp. S35,Mesophilic
Salinispira pacifica,
Torulaspora delbrueckii,
Fusarium musae,Mesophilic
Actinomyces pacaensis,
Rhodococcus sp. GA1,
Alkalihalobacillus sp. LMS6,
Bacillus sp. Cs-700,
Virgibacillus sp. 6R,
Streptococcus halotolerans,
Ndongobacter massiliensis,
Parabacteroides merdae,Mesophilic
Abyssalbus ytuae,
Capnocytophaga sp. H4358,
Myroides odoratus,
Candidatus Bipolaricaulis anaerobius,
Paracholeplasma brassicae,
Parasedimentitalea marina,
Leisingera sp. M527,
Zymomonas mobilis,
Alcaligenes sp. NLF5-7,
Burkholderia sp. EMB26,
Cupriavidus sp. ISTL7,
Thalassotalea sp. LPB0316,
Shewanella chilikensis,
Shewanella sp. MR-4,
Enterobacter mori,Mesophilic
Kosakonia sacchari,Mesophilic
Duffyella gerundensis,Mesophilic
Chania multitudinisentens,Mesophilic
Serratia odorifera,Mesophilic
Pseudomonas cedrina,Mesophilic
Pseudomonas sp. GR 6-02,Mesophilic
Pseudomonas sp. N3-W,Mesophilic
Stenotrophomonas sp. G4,
Xanthomonas sp. MLO165,
Aspergillus luchuensis,
Haloplanus rallus,
Edaphobacter sp. 12200R-103,
Brevibacterium sp. 'Marine',
Arthrobacter sp. StoSoilA2,
Rhodococcus sp. NJ-530,
Planococcus antarcticus,
Lactobacillus delbrueckii,
Clostridium felsineum,Mesophilic
Flintibacter sp. KGMB00164,
[Clostridium] hylemonae,
Selenomonas ruminantium,
Phocaeicola salanitronis,
Gramella sp. MAR_2010_147,
Maribacter dokdonensis,
Mucilaginibacter mali,
Pedobacter mucosus,
Chlorobium limicola,
[Phormidium] sp. ETS-05,
Roseivivax sp. THAF197b,
Ruegeria sp. AD91A,
Altererythrobacter ishigakiensis,
Burkholderia aenigmatica,
Kingella oralis,
Candidatus Methylopumilus turicensis,
Dissulfurimicrobium hydrothermale,
Aeromonas rivipollensis,
Shewanella sp. NFH-SH190041,
Methylomonas sp. DH-1,
Aquirhabdus parva,
Halomonas sp. hl-4,
Mannheimia varigena,
Pseudomonas allokribbensis,Mesophilic
Pseudomonas sp. R4-34-07,Mesophilic
Pseudomonas sp. R4-39-08,Mesophilic
Photobacterium sp. GJ3,
Mariprofundus ferrinatatus,
Haladaptatus halobius,
Corynebacterium amycolatum,
Corynebacterium incognita,
Rhodococcus sp. PSBB049,
Sporosarcina sp. P37,
Staphylococcus kloosii,
Leuconostoc pseudomesenteroides,
Pediococcus acidilactici,
Clostridium cochlearium,Mesophilic
Oceanirhabdus sp. W0125-5,
Desulfitobacterium dehalogenans,
Caproicibacter fermentans,
Selenomonas sp. oral taxon 920,
Bacteroides zhangwenhongii,Mesophilic
Spirosoma sp. KCTC 72228,
Muricauda aurantiaca,
Chryseobacterium suipulveris,
Synechococcus sp. A15-44,
Deinococcus sp. QL22,
Mariniplasma anaerobium,
Bradyrhizobium sp. NC92,
Agrobacterium sp. S7/73,
Rhizobium hidalgonense,
Hyphococcus flavus,
Phaeobacter porticola,
Haematospirillum jordaniae,
Erythrobacter sp. SCSIO 43205,
Sphingosinicella flava,
Polynucleobacter sp. MG-Unter2-18,
Desulfatibacillum aliphaticivorans,
Desulfomarina profundi,
Aeromonas sp. CU5,
Aeromonas sp. WP2-W18-CRE-05,
Pseudoalteromonas carrageenovora,
Shewanella carassii,
Lonsdalea britannica,Mesophilic
Ewingella americana,Mesophilic
Yersinia intermedia,Mesophilic
Cobetia amphilecti,
Gynuella sunshinyii,
Pseudomonas laurylsulfatiphila,Mesophilic
Pseudomonas sp. B21-032,Mesophilic
Thiosulfativibrio zosterae,
Talaromyces rugulosus,
Halorussus sp. XZYJ18,
Arcanobacterium haemolyticum,
Bifidobacterium pseudocatenulatum,
Streptomyces sp. S1D4-14,Mesophilic
Devriesea agamarum,
Olsenella uli,
Alicyclobacillus mengziensis,
Butyrivibrio fibrisolvens,
Syntrophothermus lipocalidus,Thermophilic
Anoxybacter fermentans,
Turicibacter sp. H121,
Peptoniphilus ivorii,
Prevotella bryantii,
Spirosoma aerolatum,
Gilvibacter sp. SZ-19,
Nostoc edaphicum,
Leptolyngbya sp. NIES-3755,
Synechococcus sp. JA-2-3B'a(2-13),
Gimesia algae,
Brucella sp. BTU1,
Delftia sp. HK171,
Variovorax sp. PMC12,
Neisseria musculi,
Nitrosospira multiformis,
Idiomarina piscisalsi,
Suttonella sp. R2A3,
Cedecea sp. FDAARGOS_727,Mesophilic
Acinetobacter sp. NCu2D-2,
Acinetobacter venetianus,
Marinomonas posidonica,
Pseudomonas maumuensis,Mesophilic
Pseudomonas mucidolens,Mesophilic
Pseudomonas sp. B111,Mesophilic
Pseudomonas sp. B21-041,Mesophilic
Pseudomonas sp. IT P374,Mesophilic
Pseudomonas sp. Tri1,Mesophilic
Pseudomonas tensinigenes,Mesophilic
Thiothrix unzii,
Aspergillus fumigatus,Thermophilic
Halomicroarcula sp. YSSS71,
Halovivax sp. AGai3-5,
Natrinema salinisoli,
Fictibacillus phosphorivorans,
Mammaliicoccus lentus,
Staphylococcus simiae,
Lacticaseibacillus sp. KACC 23028,
Streptococcus mitis,
Streptococcus oralis,
Anaerocolumna cellulosilytica,
Blautia sp. NBRC 113351,
Blautia wexlerae,
Marvinbryantia formatexigens,
Porphyromonas gingivalis,
Pseudoprevotella muciniphila,
Parabacteroides faecis,Mesophilic
Synechocystis sp. CACIAM 05,
Deinococcus puniceus,
Acidithiobacillus ferrivorans,
Rhizobium grahamii,
Roseovarius sp. THAF27,
Rhodoferax aquaticus,
Neisseria shayeganii,
Campylobacter jejuni,
Thalassotalea sp. PS06,
Mixta sp. X22927,Mesophilic
Arsenophonus nasoniae,Mesophilic
Marinomonas sp. FW-1,
Actinobacillus indolicus,
Pseudomonas germanica,Mesophilic
Pseudomonas salmasensis,Mesophilic
Pseudomonas sp. 13159349,Mesophilic
Pseudomonas sp. B21-047,Mesophilic
Photobacterium sp. CCB-ST2H9,
Vibrio tapetis,
Plasmodium cynomolgi,
Natronomonas gomsonensis,
Schaalia meyeri,
Scardovia inopinata,
Corynebacterium lactis,
Corynebacterium poyangense,
Bacillus rugosus,
Salicibibacter cibarius,
Brochothrix thermosphacta,
